artist_id,artist_latitude,artist_longitude,artist_location,artist_name,song_id,title,duration,year
ARQ9BO41187FB5CF1F,40.99471,-77.60454,Pennsylvania,John Davis,SOMVWWT12A58A7AE05,Knocked Out Of The Park,183.17016,0
ARKULSX1187FB45F84,39.49974,-111.54732,Utah,Trafik,SOQVMXR12A81C21483,Salt In NYC,424.12363,0
ARI2JSK1187FB496EF,51.50632,-0.12714,"London, England",Nick Ingman;Gavyn Wright,SODUJBS12A8C132150,Wessex Loses a Bride,111.62077,0
AREDBBQ1187B98AFF5,,,,Eddie Calvert,SOBBXLX12A58A79DDA,Erica (2005 Digital Remaster),138.63138,0
AR7ZKHQ1187B98DD73,,,,Glad,SOTUKVB12AB0181477,Blessed Assurance,270.602,1993
ARBGXIG122988F409D,37.77916,-122.42005,California - SF,Steel Rain,SOOJPRH12A8C141995,Loaded Like A Gun,173.19138,0
AR7SMBG1187B9B9066,,,,Los Manolos,SOBCOSW12A8C13D398,Rumba De Barcelona,218.38322,0
ARGCY1Y1187B9A4FA5,36.16778,-86.77836,"Nashville, TN.",Gloriana,SOQOTLQ12AB01868D0,Clementina Santafè,153.33832,0
AR36F9J1187FB406F1,56.27609,9.51695,Denmark,Bombay Rockers,SOBKWDJ12A8C13B2F3,Wild Rose (Back 2 Basics Mix),230.71302,0
ARNNKDK1187B98BBD5,45.80726,15.9676,Zagreb Croatia,Jinx,SOFNOQK12AB01840FC,Kutt Free (DJ Volume Remix),407.37914,0
AR62SOJ1187FB47BB5,,,,Chase & Status,SOGVQGJ12AB017F169,Ten Tonne,337.68444,2005
ARBEBBY1187B9B43DB,,,"Gainesville, FL",Tom Petty,SOFFKZS12AB017F194,A Higher Place (Album Version),236.17261,1994
ARDR4AC1187FB371A1,,,,Montserrat Caballé;Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,SOBAYLL12A8C138AF9,Sono andati? Fingevo di dormire,511.16363,0
ARAGB2O1187FB3A161,,,,Pucho & His Latin Soul Brothers,SOLEYHO12AB0188A85,Got My Mojo Workin,338.23302,0
AREDL271187FB40F44,,,,Soul Mekanik,SOPEGZN12AB0181B3D,Get Your Head Stuck On Your Neck,45.66159,0
ARP6N5A1187B99D1A3,,,"Hamtramck, MI",Mitch Ryder,SOXILUQ12A58A7C72A,Jenny Take a Ride,207.43791,2004
ARGSAFR1269FB35070,,,,Blingtones,SOTCKKY12AB018A141,Sonnerie lalaleulé hi houuu,29.54404,0
ARULZCI1241B9C8611,,,,Luna Orbit Project,SOSWKAV12AB018FC91,Midnight Star,335.51628,0
AR0IAWL1187B9A96D0,8.4177,-80.11278,Panama,Danilo Perez,SONSKXP12A8C13A2C9,Native Soul,197.19791,2003
ARJIE2Y1187B994AB7,,,,Line Renaud,SOUPIRU12A6D4FA1E1,Der Kleine Dompfaff,152.92036,0
ARLTWXK1187FB5A3F8,32.74863,-97.32925,"Fort Worth, TX",King Curtis,SODREIN12A58A7F2E5,A Whiter Shade Of Pale (Live @ Fillmore West),326.00771,0
ARNF6401187FB57032,40.79086,-73.96644,"New York, NY [Manhattan]",Sophie B. Hawkins,SONWXQJ12A8C134D94,The Ballad Of Sleeping Beauty,305.162,1994
ARPFHN61187FB575F6,41.88415,-87.63241,"Chicago, IL",Lupe Fiasco,SOWQTQZ12A58A7B63E,Streets On Fire (Explicit Album Version),279.97995,0
AR051KA1187B98B2FF,,,,Wilks,SOLYIBD12A8C135045,Music is what we love,261.51138,0
AR8IEZO1187B99055E,,,,Marc Shaiman,SOINLJW12A8C13314C,City Slickers,149.86404,2008
AR558FS1187FB45658,,,,40 Grit,SOGDBUF12A8C140FAA,Intro,75.67628,2003
ARVBRGZ1187FB4675A,,,,Gwen Stefani,SORRZGD12A6310DBC3,Harajuku Girls,290.55955,2004
ARWB3G61187FB49404,,,"Hamilton, Ohio",Steve Morse,SODAUVL12A8C13D184,Prognosis,363.85914,2000
AREVWGE1187B9B890A,-13.442,-41.9952,Noci (BA),Bitter End,SOFCHDR12AB01866EF,Living Hell,282.43546,0
ARAX2UE0ZJDRJM3FSX,,,,Des'ree,SOO1T8EHQDFSUJLHLZ,You Gotta Be,246.30812,
ARNMNJ0HSEVQF54QRU,,,,Mr Oizo,SO8SFQLSDDPNCTATSY,Flat 55,144.03873,
ARVVK3HOY4GMGXEN6Q,,,,Tamba Trio,SOCYKU4ASPPD1CHB8L,Quem Quiser Encontrar O Amor,177.18812,
ARUTCXBIH5HC7QKCPM,,,,The Mars Volta,SOZARNERW5VCTWZMTA,Eriatarka,380.42077,
ARGJLFXBTRGI5NAYVK,,,,Infected Mushroom,SON2XEYQ27DTNJSKKI,Becoming Insane,440.2673,
ARKYJHQQFVAT4DCIZV,,,,Blue October / Imogen Heap,SO8LRH7DUVO4PZMP6T,Congratulations,241.3971,
ARK1EZCBP0BPL1VELX,,,,Girl Talk,SOBWQHCO8RKJQ0MSZM,Once again,160.15628,
AROBBEOPASS14IEJUL,,,,Black Eyed Peas,SOLG271AISYBNUH4VX,Pump It,214.93506,
AR6BYPNWANTYXSRSKC,,,,Fall Out Boy,SOBTGVJFJN1FBJNVZX,Nobody Puts Baby In The Corner,200.72444,
AR0MUMP4JFPEIYO4J2,,,,M.I.A.,SOGDMALEVYKQ8JH1CQ,Mango Pickle Down River (With The Wilcannia Mob),233.7171,
AR52GYBEVLTUZI42VI,,,,Survivor,SOWZGQUIZYQ72A7ZHQ,Eye Of The Tiger,245.36771,
ARKOY7VIR1IOLOKMFV,,,,N.E.R.D. FEATURING MALICE,SOHX4LFCUFUACU28VJ,Am I High (Feat. Malice),288.9922,
ARAHOCVNLD6CM71U86,,,,Death Cab for Cutie,SONN4MW5WR92XC2NI4,A Lack Of Color (Album Version),216.42404,
ARNYJYZOMHESFVKG9S,,,,Tracy Gang Pussy,SOVGSLSCJZIIXEKPZI,I Have A Wish,221.33506,
ARSRHZU9FDA4L84TCD,,,,Skillet,SOKS1CJTOLIDIZT9GQ,Monster (Album Version),178.02404,
ARDEDT0O9FSMQMDR6H,,,,Dance Gavin Dance,SO3JUQZA17HQ9RQSWS,Uneasy Hearts Weigh The Most,218.46159,
ARRPE4PROSRB4KWCRQ,,,,Dalto,SO3ODQNU0DWKLPJE0Q,Falta Te Dizer,190.40608,
AR0Z4RJTOQ99YNTHCY,,,,Kanye West,SOW6SK7FBF7FEPA7GZ,Family Business,278.88281,
ARF2YSWQIOOXY53OZQ,,,,Jason Mraz & Colbie Caillat,SONHSJPAOXNN2T4KZT,Lucky (Album Version),189.6224,
ARXTFZZJQVYHZQ0BQE,,,,Liz Callaway,SOR6TCVDK8DXE4NBQ7,Journey To The Past  (LP Version),175.43791,
ARW4SE7KIPKHPBX1VZ,,,,The Decemberists,SO1AQDIUSUW6Q2OC24,Everything I Try to Do_ Nothing Seems to Turn Out Right,242.59873,
ARTJ1FFPCEF3YCJYL2,,,,Christina Aguilera,SO6DZ8APWLLGEAKLIT,Impossible,254.48444,
ARALBKU1JJW0PNZOZQ,,,,OneRepublic,SO27UMSSFX1AKDFDYL,Secrets,224.67873,
ARBWE3ETAPJDMYUHVQ,,,,Cat Stevens,SOKVSCRF4MPPYYAWVU,Wild World,200.202,
ARFS5SBHTM7JTTDB07,,,,Brett Dennen,SOA4JOTTIRZCW5M1WQ,World Keeps Turning,179.66975,
ARXOERI8IFLPVIRGFT,,,,Godsmack,SODSXCWHDMWJ8CJGGZ,Greed,208.24771,
AR7POQIQKNXK8PNJDZ,,,,Anis,SOMNTLYJSKQTMVMYUK,Swing Javanaise,246.59546,
AREDZD0IAXPNUPQPIM,,,,Tiziano Ferro,SOTFYHOUO11IKYMJT5,Ed Ero Contentissimo,251.42812,
ARBG8PFMMJPRUQL914,,,,Kylie Auldist,SOOPLIPIENZCIM8YDN,Ship Inside A Bottle,265.92608,
ARNIPZHNTA39N5FLJ0,,,,Benga,SOB3YZOTD8RGDMTNDV,The Cut,286.17098,
ARU6KAGBZQBXDZDUQX,,,,T. Rex,SOIHWZ8PQ1DEBQXGLX,Ride A White Swan,132.85832,
ARCRWOXQALE8ICDAHQ,,,,Mexican Institute of Sound,SODRK1L368NR1C4RW6,Mirando a Las Muchachas,278.04689,
ARR7XLVPKYR6HBQWKY,,,,Velour 100,SO0LUUMSTQVMXVJSO2,Clouds (Of Color Bright Album Version),202.29179,
AR5OIHYO9AIWS9CPFG,,,,Maria de Barros,SOFSMDQWDV3BWV4GUV,Riberonzinha,276.29669,
ARJHRFOBLWTV6II0HI,,,,Toby Keith,SOOYIGXX4UT4U57JD9,Big Blue Note,177.162,
ARKE7VJBFNSR0GOCL4,,,,Marques Houston,SO0W3QDWDHN7XH4E6Y,Naked,264.98567,
ART7OYCKKFXJSPPSB7,,,,Commit Suicide,SOR8WEXCPWXPXC50NM,In All This Revelation,105.482,
ARIOJQJAOWTCTXS2VW,,,,Smile Empty Soul,SODFFGSOB0ASQ79IOW,Bottom of a Bottle (Explicit Album Version),218.61832,
ARY0268YBNY90GLAGT,,,,Amy Winehouse,SOFNR22NAIILD2LJEW,Wake Up Alone,221.1522,
AR3EJY2OYDLNXX96VI,,,,Eyehategod,SOHOFFE1VCOBCREMES,Sisterfucker (part Ii),155.66322,
AR6EEDQBBWY72IIYDR,,,,Sunidhi Chauhan / Anu Malik / Jatin Sharma,SOZ5LU1MHYC3QSI8FD,Dekh Le,319.32036,
ARYZP2UFBZUFPJPWCI,,,,Blondie,SOO214ABATQMCJZ0BQ,Little Girl Lies (2001 Digital Remaster),127.73832,
ARYRF2AAPSLUFCBJEB,,,,She & Him,SOE6VFADBOBREPXOEE,Got Me,167.83628,
ARDHW3SV433IATEVFC,,,,The Black Keys,SODL8EBFLGPMVWTUUR,The Lengths,294.76526,
ARC545DRSHWBG3KFBV,,,,Conya Doss,SO0BBCQ0MEC4NLILIN,I Miss You,317.98812,
ARP53BQTUMK9T3FKK3,,,,Disney Studio Chorus,SOUS65HULHLTMIJO3N,Little April Shower,234.84036,
ARAVLEX9AXJOHGWBWC,,,,Dirty Projectors,SOGMREGQOGIWWPIGOB,Stillness Is The Move,319.63383,
ARXBBA6HKZRZJEKEAU,,,,Boom Bip,SOGRZWMCTN0E1XIHBS,From Left To Right,330.16118,
ARLLUKO3TCAXQRBZZK,,,,Avantasia,SOHDARMIQFXV8WK7EJ,Shelter From The Rain,368.97914,
AREUSUMIR01497ZFW9,,,,Amon Amarth,SOERWMGXVAEF3MVR5N,North Sea Storm (Live),312.29342,
ARRKF6AGS9CMXS9GHT,,,,Young Money featuring Lloyd,SOSGZACZBS9HRNEHKF,BedRock (Radio Edit) (feat.Lloyd),196.33587,
AR8XPM4ZNTTWFLPMEA,,,,Breakbeat Era,SORAPMW314ADWHY4UF,Anti-Everything,326.32118,
AR7HXMKQUMSF4BHUZ3,,,,Local Natives,SOXTMWLEYVYJ4IEU0O,Airplanes,237.92281,
AR032JIPWGB2H9KDRD,,,,Gabriella Cilmi,SO1N5TC3KP8EQDFWKS,Awkward Game,207.38567,
ARCWCTL0MQBNWRNRRC,,,,Minus The Bear,SO59VRBJ5JSMUYXSQG,Knights,219.76771,
ARJN4EVT76BR7YZBQV,,,,Calle 13 Featuring CafÃÂ© Tacuba,SOGXFVACH7J3NIUDVS,No Hay Nadie Como TÃÂº,293.32853,
ARR2VUWVM7T99AMVQF,,,,Frumpies,SOC3TR7QLCRJTUUJNI,Fuck Kitty,134.47791,
AR2WJPXMEIUK6Y6ATJ,,,,D-12,SOSRIJWZX5QA5E1U2K,Barbershop,261.40689,
ARWACK6EQYPFFJG6R1,,,,Emil Gilels/Orchestre de la SociÃÂ©tÃÂ© des Concerts du Conservatoire/AndrÃÂ© Cluytens,SOU0AGRSJJ7UJNNFQE,Piano Concerto No. 2 in G minor Op. 22 (2006 Digital Remaster): III.  Presto,375.19628,
ARB8EUBGS1LTVXO1JY,,,,Dragonette,SOOBGYUCOQGRZBNJLB,Fixin to Thrill,246.49098,
ARMHS44QEUHGSXKYY0,,,,Pennywise,SOM8ORUARP6AGPTCQQ,The Western World,188.26404,
AR0Z4RJTOQ99YNTHCY,,,,Kanye West,SORNQBCMU1WZL7EE88,Flashing Lights,238.52363,
ARZNDWFMDBL2MVNMUG,,,,Flash And The Pan,SORYUEITFWQ0GIAHF9,Waiting for a Train [Single Mix],224.65261,
ARHGJG1P4CZOFLAN69,,,,Washed Out,SOIGNO5DTBQ8ITEDXZ,New Theory,168.6722,
ARWDAHFXUGHJAE059E,,,,Katy Perry,SOPX4OONMBYC24Q2S6,I Kissed A Girl,179.40853,
ARYXSZ6HM2TJ9WYMGA,,,,AFI,SO6D5RLQQ7TE9ZAO3G,Miss Murder,198.97424,
ARF7AMTY8EKSQ7QFXQ,,,,Drake / Kanye West / Lil Wayne / Eminem,SOSZLMKZA6L1THOANB,Forever,357.66812,
ARVZJTT5R2NSHTAWNM,,,,The Crests,SOYH8RFUQC4VQCDGXK,16 Candles,182.88281,
ARXSDZHT3YVXCACWCX,,,,Nirvana,SOYY518YDOO9SZBRDJ,Come As You Are,219.08853,
ARTIRZKDL0RNCWCOXS,,,,Knights Of The Abyss,SOQFCZ5OCYEEYTWQOC,Dragon Pie,205.66159,
ARTZIXADUPG6LKKHZD,,,,Binary Star,SOPIL1GIXJVXK7KADX,Honest Expression,300.19873,
ARBB7LFTMEAXHVMDKK,,,,Nada Surf,SOZOJNSXKUHRIOZROC,Whose Authority,181.08036,
ARYU3WJD0HOTDZQDXE,,,,Blank & Jones,SOJABUMKWUME3B4OWU,Beyond Time (Ambient Mix),310.15138,
ARLUVRBYXSCNKR3YOI,,,,Carnifex,SOAVYHEMVTXWQGOM2Y,By Darkness Enslaved,219.89832,
AR4XVKEF26TSYWEE5I,,,,Bono / Secret Machines,SOE6BHDDHM8LKJRUZR,I Am The Walrus,285.43955,
AR5O7JSRCREACRXLWW,,,,Broadcast 2000,SO8PAC7HONGJVRPLVA,The View,198.84363,
AR6YZPLIAVDGSLDXUT,,,,Pixies,SO8C6FXOHCCKJLJP0N,Where Is My Mind?,229.3024,
ARNGPW26WUT90TRAD8,,,,Kings Of Leon,SO6J2RDACHCN4VDG8U,Holy Roller Novocaine,242.99057,
ARMIMYASTTN8AXX7TM,,,,Arctic Monkeys,SOQ7JQPCERZTYQJ0CW,You Know I'm No Good,221.85751,
ARB1LY3WBFQRAQUAI5,,,,Alliance Ethnik,SOGWCMKGPFU7ZHEVZN,ReprÃÂ©sente,252.21179,
ARV0GBAS7ANS1D8EFI,,,,Apocalyptica,SOL8YPKSH6SUHLEUIN,Coma,409.86077,
ARQO9URFVNMAEV4FL8,,,,Big Tymers,SONCNQ0ILEXO9GGTFI,Lil Mama,256.15628,
ARX22ZWWCGIDULXCYD,,,,Pat Green,SOFOT1DV5K8SELFYYO,Whiskey,295.33995,
ARZC81YZEE7AUI7YQQ,,,,Daughtry,SOKCSRREJSS1NNFOZL,No Surprise,249.91302,
AR8BUJFKEWVWWUSPUL,,,,Air,SO5G5MXDE0QMJEKNKU,Playground Love,212.21832,
ARSUB6UGFPOOGLOFKZ,,,,Sam Cooke,SOVKRHVVDPFNNFBP58,Ain't Misbehavin,122.04363,
ARR8CT9ASMCSFBUBBP,,,,Live,SOPBYYSAIHUFE8YO17,Deep Enough,203.28444,
ARS1G0YTFUUHF1DZST,,,,Everclear,SOYXKINXGYHWIIQT2B,Summerland,222.61506,
ARM2AALJOZRZ4FL4MH,,,,Alison Krauss / Union Station,SO5PE8DMIBIQ4HO4OL,Down To The River To Pray,129.67138,
ARXH6S1P38JYF33HQS,,,,The All-American Rejects,SOXZC6CPWRGLKTGTVD,Move Along,239.22893,
ARO2PJ0L8DUWZW8YOP,,,,Covenant,SOPK9FC4M2VU5RCSSR,XRDS,300.19873,
AROWOZZIH6IVH5GWV1,,,,You Me At Six,SONKLV30AFD0SURFXT,Liquid Confidence,191.13751,
AR0KOOAEHSFIDJTA67,,,,Motion City Soundtrack,SOFI1MLGRGWK6FFXMV,Everything Is Alright (Album Version),206.34077,
ARNIJ4VZXCWFCCZRTC,,,,FM Static,SOFFQFAFJ83LNR1MI1,Something To Believe In,169.84771,
AROMWEAVNIK0PRPE9D,,,,Dave Gahan,SO3KLIZUOUPNRGKMCE,Kingdom,272.92689,
ARWA4HAIDIOHEGROOM,,,,Metallica,SOHEXSP95ATP7E4ZCQ,Mama Said,319.73832,
AR37QQMCE9DRFPQE9X,,,,Dr. Hook,SO0PJKNNKDJOOFM2JY,Sylvia's Mother,229.77261,
AREOFZJGZQAW25A0VT,,,,Gotan Project,SORWFQNF3WEPHYWXAH,Diferente,321.30567,
ARMVWZB2IAGFWJ4ZPM,,,,Carrie Underwood,SOFO919IG3I5YPBB89,Play On,221.3873,
AR3U5WZVY5A5ONW6Q7,,,,Ut,SOLR6B5ATZSIBKMVEF,I.D.,313.86077,
AR8DD8DASZH3I85GCS,,,,Lil Wayne / Eminem,SOJ5QDQUIRYPLYJATJ,Drop The World,229.58975,
ARCS5ABQF2SE4VRQSQ,,,,Damage,SOPTDERHFINS0YCAMC,For Your Pleasure,263.18322,
ARKUWONZEVLWDUQRJZ,,,,Rionegro / SolimÃÂµes,SONDNZAY02ILWDLMJA,De SÃÂ£o Paulo ÃÂ BelÃÂ©m,280.92036,
ARGF8MU03W3QRCAWIQ,,,,Drive-By Truckers,SODTS6OOAKTV238DCK,Outfit,246.22975,
AROXWVV25L0TV6D6YR,,,,Tweet,SOGFCFRZI3RKKN8QG8,Smoking Cigarettes (LP Version),256.39138,
AREKVA3GEDOKKISFCS,,,,Ben Folds Five,SOBLT5UGLXSFOFH49N,Steven's Last Night In Town,207.882,
AR3HYLNW8YNFJNQJSD,,,,Glen Hansard,SOMRQSXPT2771WQ3CB,Lies,239.59465,
AROBLDYJCHFGDKHG4N,,,,Chevelle,SOPZNJBSQ8Y5P1SZWA,Dos (LP Version),389.85098,
ARWWY8SBKPKGNR9D8W,,,,Bill Withers,SOBA46GG2ZI9MQHRW7,Make Love To Your Mind,383.73832,
ARKRJHW6Q0ETZEIEK6,,,,Jorge Drexler,SOWRHZU9QPPUMXAYZX,Salvapantallas,272.14322,
ARBR4H7RECJK6IU94C,,,,Michael Bolton,SO4F63NSFVAFVENBKA,How Am I Supposed To Live Without You,255.65995,
ARACMTY8XVK31EYQIT,,,,The Mercury Program,SON3CVFHFBKMP7V4PO,Marianas,449.12281,
ARENZPDLGARNMFDYT4,,,,Duran Duran,SOMSMHDLKAO5ERBWIV,The Seventh Stranger,321.88036,
ARLVVU3GHWM2XS5WIT,,,,Little Boots,SO1XQJEOYJVGAVTSRU,Meddle,195.94404,
ARXKML09ZEEZNQ3GYA,,,,Johnossi,SOXNT7DN5FQ3IPHOKK,Glory Days To Come,174.2624,
ARJYVNWX5XI8IOT3LT,,,,BjÃÂ¶rk,SOYVWNT82M20N8D7QT,Undo,348.57751,
AROBBEOPASS14IEJUL,,,,Black Eyed Peas,SO8DSJRS9FL58AQQSV,Hey Mama,226.37669,
ARSCSSY6BCJ5P4UFPZ,,,,DecembeRadio,SOUU9PALG2QW5GIC3Q,Find You Waiting,249.62567,
ARKKLCSF5GQ61H68EQ,,,,Bonobo,SOKWITBPTFWXIJZII9,1009,270.41914,
ARXVAV3GFSPQJ26ST1,,,,Five Iron Frenzy,SOUKPDDM2PAQLVQIO4,Canada,236.09424,
ARMQAAQ5QKR6IRR7YC,,,,Morcheeba,SO4UEMUEOM4CHZB3KJ,The Sea,347.71546,
ARXGURUR0CVIDXTSV8,,,,The Avett Brothers,SOSGXVDSRGYY9XNJAN,All My Mistakes (US4BW0700133),307.9571,
AR609XBVNMOACAQ61O,,,,Dave Darell,SOONGJPXQG4NATACV4,Children,217.33832,
ARFWRZI3EYXDW0EKTO,,,,Priestess,SOLFPAPMPSGOWGCP3P,Talk To Her,190.45832,
ARENVBUMDSJO7C67LW,,,,Arcade Fire,SOT3YDTH07UNK17W9Y,I'm Sleeping In A Submarine,169.19465,
ARWD1TZACQCKVETKWV,,,,Daft Punk,SOCS9SDVQME8PUD7TU,Crescendolls,211.69587,
ARW8UBHCMUOBJE2WVR,,,,Nickel Creek,SOWLJMOINXLOHH4L0V,When In Rome,255.13751,
ARAQZAMZFJAQANGRB7,,,,Squeeze,SOAB4ZNN0EPAOM3ICB,Footprints,229.56363,
ARKQ9J1W1S4XPSTGT2,,,,Creedence Clearwater Revival,SO6Y1TKIMR5XUCLJPU,Sweet Hitch-Hiker,175.80363,
ARCJLPNISZAKU718VP,,,,Kierra Sheard,SOZFCWYUG4P7LQRSDL,Love Like Crazy (Extended Mix),299.02322,
ARUMA8VDKQVQEWTVM1,,,,Greg Laswell,SOMRNZH09NHGSQREXV,Comes And Goes ( In Waves ),251.08853,
ARD1UYUHZYYUHHNKRK,,,,Pavement,SOMQ4Z93VZLCJ8APEZ,Mercy:The Laundromat,99.16036,
ARKRTYJO0UYDPLQX0T,,,,Sixx A.M.,SO126SR1LDL36J1LGI,Courtesy Call (Explicit),280.58077,
ARTDDSA3BYTDJ8VVVN,,,,Leonard Cohen,SOBVC0D59CAVW2EZC2,I'm Your Man,267.67628,
ARHNZEHFT4YNYITDSW,,,,The Tallest Man On Earth,SOIY7AXOFFMJNP5TIL,The Wild Hunt,203.62404,
AR7YPGANZXSSQRTMDY,,,,My Chemical Romance,SOEQAL7U7IXZOGJDPE,Teenagers (Album Version),161.90649,
ARELCTN3LPZJODO8OG,,,,Wendy Rene,SOZY1WNK4FBVMTW1Y0,After Laughter (Comes Tears) (LP Version),182.46485,
AR3P2PAH53LU64NQ4H,,,,Jack Johnson / Paula Fuga,SO3KNCZEKLRZ3FHCTX,Country Road,178.33751,
AR83EWFDXWKUBJCG1F,,,,Tub Ring,SOB4FE2GUTAYBZ6SWN,Invalid,233.69098,
AREY0OZGEB8TWSUUM5,,,,No Doubt,SOQBZNH7BWEOTLFXVB,BND,44.93016,
